"","MSE1","MSE2","MSE3","MSEt4","MSE5","MSE6","X","Y"
"1",10.9741636023067,10.9788726667437,10.9843408259303,10.9905304271266,10.997372651461,11.0047725502476,272031.996063344,-597060.830194763
"2",10.9741374626539,10.9788629189523,10.9843457369299,10.9905480247864,10.9974008353054,11.0048091969593,281060.157010911,-597060.830194763
"3",10.9740501874804,10.9787959460539,10.9842972901212,10.9905160426356,10.9973830894141,11.0048034056048,290088.317958478,-597060.830194763
"4",10.9738615930551,10.9786334426921,10.9841591152425,10.9904000809115,10.9972869985452,11.0047247387788,299116.478906045,-597060.830194763
"5",10.9735166496027,10.9783229929551,10.9838814828172,10.9901531394119,10.9970683050863,11.0045316664593,308144.639853612,-597060.830194763
"6",10.9729492237223,10.9778016496358,10.9834047134198,10.9897188517906,10.9966739653584,11.0041744432635,317172.800801179,-597060.830194763
"7",10.9721382238495,10.9770493833774,10.9827098597344,10.9890793605816,10.9960872080469,11.0036373696765,326200.961748746,-597060.830194763
"8",10.9720689120363,10.9768245854571,10.9823484361174,10.9886024220277,10.9955169574306,11.0029960106449,263003.835115777,-588032.669247196
"9",10.9720883140755,10.9768580297941,10.9823941554613,10.9886584362351,10.9955811827012,11.0030663628482,272031.996063344,-588032.669247196
"10",10.9720698174564,10.9768564878186,10.982407713929,10.9886849931269,10.9956185056189,11.0031122006805,281060.157010911,-588032.669247196
"11",10.9719756402523,10.9767839180906,10.9823548671015,10.9886496821166,10.99559836627,11.0031048122337,290088.317958478,-588032.669247196
"12",10.9717473391928,10.976584623947,10.982182745758,10.9885025110254,10.9954736678908,11.0029999843951,299116.478906045,-588032.669247196
"13",10.9712879449282,10.9761662673234,10.9818037681407,10.9881607266259,10.9951665057665,11.0027246310089,308144.639853612,-588032.669247196
"14",10.970420274242,10.9753602324478,10.9810581013551,10.9874733965115,10.9945348695474,11.002145594233,317172.800801179,-588032.669247196
"15",10.9687866160462,10.9738262685835,10.9796233694996,10.9861362345604,10.9932925830826,11.0009946443594,326200.961748746,-588032.669247196
"16",10.9658372538451,10.9710418282911,10.9770047882927,10.9836825031267,10.9910009380175,10.9988608033483,335229.122696313,-588032.669247196
"17",10.9653625405954,10.9706127589655,10.9766192371968,10.9833377614393,10.990693884052,10.9985880713391,344257.28364388,-588032.669247196
"18",10.9700958644098,10.9751387401065,10.9809295519018,10.9874263956877,10.9945572429965,11.0022249953291,353285.444591447,-588032.669247196
"19",10.9737314531159,10.9786214881483,10.9842522911761,10.9905836443815,10.9975453363939,11.0050421418166,362313.605539014,-588032.669247196
"20",10.9764415263149,10.9812241801957,10.986741471597,10.9929543489768,10.999793912496,11.0071663347644,371341.766486581,-588032.669247196
"21",10.9786633515362,10.9833625420588,10.9887907954143,10.9949099526944,11.0016521591072,11.0089247344401,380369.927434148,-588032.669247196
"22",10.9806073234571,10.9852366162696,10.9905897194857,10.9966292115974,11.0032881313682,11.0104748028831,389398.088381715,-588032.669247196
"23",10.9699101899207,10.9747282916054,10.9803222685607,10.986653459032,10.9936513734642,11.0012188507756,263003.835115777,-579004.508299629
"24",10.9699624373447,10.9747939849555,10.9803994814463,10.9867400565933,10.9937451284712,11.0013175528188,272031.996063344,-579004.508299629
"25",10.9699803759826,10.9748281706359,10.9804478885392,10.9868004172846,10.9938150575243,11.0013946654171,281060.157010911,-579004.508299629
"26",10.9699232756889,10.9747919847841,10.9804305545115,10.9867995754133,10.9938281841733,11.0014191999117,290088.317958478,-579004.508299629
"27",10.9697269381263,10.974624236136,10.9802893853019,10.98668259004,10.993732742247,11.0013425534043,299116.478906045,-579004.508299629
"28",10.969281225301,10.9742200370871,10.9799248870543,10.9863554445337,10.9934402164945,11.0010816794152,308144.639853612,-579004.508299629
"29",10.9683689636008,10.9733727030664,10.9791411300346,10.9856331099782,10.9927765070789,11.0004733236867,317172.800801179,-579004.508299629
"30",10.9664522597024,10.9715705548837,10.9774532781734,10.9840579227097,10.991311159225,10.9991140003487,326200.961748746,-579004.508299629
"31",10.9614529868196,10.9668374131541,10.9729894449797,10.9798634685999,10.9873832761434,10.9954473080052,335229.122696313,-579004.508299629
"32",10.9582036097621,10.9637709624743,10.9701067853811,10.9771633090311,10.9848623906537,10.9931008026727,344257.28364388,-579004.508299629
"33",10.9676031477607,10.9727360904668,10.978623679503,10.9852230511667,10.9924610204743,11.0002391942011,353285.444591447,-579004.508299629
"34",10.9718425663623,10.9767946446108,10.9824933186635,10.9888977302791,10.9959368332041,11.0035144199855,362313.605539014,-579004.508299629
"35",10.9747415655261,10.9795783943502,10.9851553001637,10.9914326795707,10.9983408937359,11.0057852323246,371341.766486581,-579004.508299629
"36",10.9770684689606,10.9818179843831,10.9873017206699,10.9934810096613,11.000287308071,11.0076271085688,380369.927434148,-579004.508299629
"37",10.9790946342499,10.9837714615185,10.9891770096773,10.9952733784655,11.0019929564384,11.0092432845011,389398.088381715,-579004.508299629
"38",10.980942411852,10.9855551553002,10.9908913400665,10.9969137353339,11.003555564683,11.0107253252722,398426.249329282,-579004.508299629
"39",10.982674150303,10.9872283256832,10.9925008166394,10.9984549986844,11.0050248677841,11.012119817319,407454.410276849,-579004.508299629
"40",10.9843236682622,10.9888230979339,10.9940358374693,10.9999258249782,11.0064277847913,11.013451963772,416482.571224416,-579004.508299629
"41",10.9859098595466,10.9903574046989,10.9955133570645,11.0013421846261,11.0077793065314,11.0147357900189,425510.732171983,-579004.508299629
"42",10.9874434172194,10.9918413829793,10.9969429482792,11.0027130846299,11.0090878784359,11.0159791896336,434538.89311955,-579004.508299629
"43",10.9889304547358,10.9932808191486,10.9983300669212,11.0040436505103,11.0103582994906,11.0171866419126,443567.054067117,-579004.508299629
"44",10.9903745525342,10.9946790957869,10.9996778964353,11.0053368675891,11.0115933599803,11.0183607469977,452595.215014684,-579004.508299629
